Transaction Date,Description,Debit,Credit,Balance
08/29/2025,Vistaprint Business Cards,78.99,,67849.53
09/03/2025,AT&T Business Wireless,185.00,,67664.53
09/05/2025,Comcast Business Internet,189.99,,67474.54
09/09/2025,United Airlines Denver,412.00,,67062.54
09/12/2025,Westin Hotel Denver,678.00,,66384.54
09/16/2025,Client Payment Received,,9000.00,75384.54
09/19/2025,Facebook Ads September,550.00,,74834.54
09/23/2025,Adobe Photoshop Monthly,20.99,,74813.55
09/26/2025,USPS Priority Mail,89.40,,74724.15
10/02/2025,AT&T Business Wireless,185.00,,74539.15
10/06/2025,Comcast Business Internet,189.99,,74349.16
10/10/2025,Grubhub Team Lunch,178.40,,74170.76
10/14/2025,Toll Roads I-90,42.00,,74128.76
10/17/2025,Client Payment Received,,13500.00,87628.76
10/21/2025,Asana Business Monthly,24.99,,87603.77
10/24/2025,Shopify Basic Monthly,29.00,,87574.77
10/28/2025,DHL International Shipping,145.60,,87429.17
11/04/2025,AT&T Business Wireless,185.00,,87244.17
11/06/2025,Comcast Business Internet,189.99,,87054.18
11/11/2025,Starbucks Team Meeting,67.50,,86986.68
11/14/2025,JetBlue Airlines Miami,534.00,,86452.68
11/17/2025,Four Points Hotel Miami,745.00,,85707.68
11/19/2025,Client Payment Received,,10000.00,95707.68
11/24/2025,Progressive Business Insurance,198.00,,95509.68
11/28/2025,Upwork Freelancer Payment,620.00,,94889.68
12/03/2025,AT&T Business Wireless,185.00,,94704.68
12/05/2025,Comcast Business Internet,189.99,,94514.69
12/09/2025,Zoom Annual Renewal,149.90,,94364.79
12/12/2025,Google Ads December,700.00,,93664.79
12/16/2025,Client Payment Received,,15000.00,108664.79
12/19/2025,UPS Holiday Shipping,234.80,,108429.99
12/23/2025,Holiday Team Dinner,892.50,,107537.49
12/29/2025,PayPal Transaction Fee,45.20,,107492.29
12/31/2025,Bank Service Fee,15.00,,107477.29
